站点名称,POI编号,拼音名称,gd经度,gd纬度,路线名称,城市名称,行政区名称,bd经度,bd纬度
邱隘东,BV10644851,Qiu AiDong,121.661441,29.846562,1号线,宁波,鄞州区,121.667845,29.852756
东环南路,BV10194030,DongHuan NanLu,121.650587,29.853024,1号线,宁波,鄞州区,121.657235,29.858918
盛莫路,BV10198658,ShengMo Lu,121.636273,29.856445,1号线,宁波,鄞州区,121.643057,29.862235
福庆北路,BV10198657,FuQing BeiLu,121.624204,29.858826,1号线,宁波,鄞州区,121.630953,29.864412
海晏北路,BV10198542,HaiYan BeiLu,121.614624,29.860234,1号线,宁波,鄞州区,121.621322,29.865968
世纪大道,BV10192466,ShiJi DaDao,121.602005,29.859027,1号线,宁波,鄞州区,121.608367,29.86479
福明路,BV10192022,FuMing Lu,121.593092,29.86098,1号线,宁波,鄞州区,121.599505,29.866901
樱花公园,BV10193715,YingHua GongYuan,121.581421,29.864427,1号线,宁波,鄞州区,121.58797,29.870208
舟孟北路,BV10193171,ZhouMeng BeiLu,121.574006,29.867239,1号线,宁波,鄞州区,121.580387,29.873509
江厦桥东,BV10192366,JiangXia QiaoDong,121.565095,29.86941,1号线,宁波,鄞州区,121.571461,29.875734
东门口,BV10192145,DongMenKou,121.555432,29.871481,1号线,宁波,海曙区,121.56221,29.877592
鼓楼,BV10191786,GuLou,121.54897,29.873914,1号线,宁波,海曙区,121.555723,29.879746
西门口,BV10192257,XiMenKou,121.539928,29.874847,1号线,宁波,海曙区,121.545999,29.881237
大卿桥,BV10192052,DaQing Qiao,121.53188,29.876588,1号线,宁波,海曙区,121.538767,29.88292
泽民,BV10198656,ZeMin,121.521148,29.87863,1号线,宁波,海曙区,121.527703,29.884557
望春桥,BV10198655,WangChun Qiao,121.508874,29.881923,1号线,宁波,海曙区,121.515341,29.887644
徐家漕长乐,BV10198654,XuJiaCao ChangLe,121.496877,29.887631,1号线,宁波,海曙区,121.503478,29.893286
芦港,BV10194107,LuGang,121.487283,29.89034,1号线,宁波,海曙区,121.493924,29.895988
梁祝,BV10198653,LiangZhu,121.476733,29.89488,1号线,宁波,海曙区,121.483368,29.900692
高桥,BV10193278,GaoQiao,121.464107,29.901488,1号线,宁波,海曙区,121.470585,29.90766
高桥西,BV10198652,Gao QiaoXi,121.453556,29.910802,1号线,宁波,海曙区,121.460156,29.917056
栎社国际机场,BV10198642,LiShe GuoJi JiChang,121.461371,29.817786,2号线,宁波,海曙区,121.473019,29.824459
栎社,BV10564133,LiShe,121.483496,29.809483,2号线,宁波,海曙区,121.490082,29.815291
鄞州大道,BV10198644,YinZhou DaDao,121.496395,29.818439,2号线,宁波,海曙区,121.502924,29.824088
石碶,BV10198645,ShiQi,121.504304,29.825732,2号线,宁波,海曙区,121.510285,29.83083
轻纺城,BV10192108,QingFangCheng,121.514326,29.8315,2号线,宁波,海曙区,121.520877,29.837223
藕池,BV10198646,OuChi,121.512768,29.841524,2号线,宁波,海曙区,121.519002,29.847269
客运中心,BV10198647,KeYun ZhongXin,121.512386,29.850722,2号线,宁波,海曙区,121.519688,29.856962
丽园南路,BV10198648,LiYuan NanLu,121.517716,29.858133,2号线,宁波,海曙区,121.524453,29.864037
云霞路,BV10193207,YunXia Lu,121.526364,29.858542,2号线,宁波,海曙区,121.532894,29.864608
宁波火车站,BV10191783,NingBo HuoCheZhan,121.537022,29.862141,2号线,宁波,海曙区,121.543962,29.868709
城隍庙,BV10195737,ChengHuangMiao,121.548778,29.867124,2号线,宁波,海曙区,121.555259,29.873796
鼓楼,BV10191786,GuLou,121.54897,29.873914,2号线,宁波,海曙区,121.555723,29.879746
外滩大桥,BV10198649,WaiTan DaQiao,121.558811,29.882812,2号线,宁波,江北区,121.565298,29.889639
正大路,BV10192063,ZhengDa Lu,121.562039,29.889763,2号线,宁波,江北区,121.568541,29.896341
倪家堰,BV10191764,NiJiaYan,121.566719,29.898239,2号线,宁波,江北区,121.573261,29.904834
压赛堰,BV10552189,YaSaiYan,121.575493,29.903443,2号线,宁波,江北区,121.582237,29.909782
大通桥,BV10192140,DaTong Qiao,121.581424,29.903762,2号线,宁波,江北区,121.588396,29.910397
孔浦,BV10192138,KongPu,121.592313,29.904137,2号线,宁波,江北区,121.598485,29.910349
路林,BV10198651,Lu Lin,121.612425,29.908967,2号线,宁波,江北区,121.619121,29.914582
三官堂,BV10192161,SanGuanTang,121.620865,29.911651,2号线,宁波,江北区,121.627336,29.916922
宁波大学,BV10192164,NingBo DaXue,121.634428,29.911594,2号线,宁波,江北区,121.641548,29.91732
清水浦,BV10192168,QingShuiPu,121.660928,29.921765,2号线,宁波,镇海区,121.667399,29.927915
五里牌,BV11363954,WuLiPai,121.677461,29.938232,2号线,宁波,镇海区,121.684356,29.945018
枫园,BV11363955,FengYuan,121.693489,29.949831,2号线,宁波,镇海区,121.700102,29.955914
聪园路,BV11363953,CongYuan Lu,121.70525,29.951084,2号线,宁波,镇海区,121.712124,29.957492
大通桥,BV10192140,DaTong Qiao,121.581424,29.903762,3号线/宁奉城际,宁波,江北区,121.588396,29.910397
中兴大桥南,BV10799872,ZhongXing DaQiao Nan,121.587855,29.890126,3号线/宁奉城际,宁波,鄞州区,121.594798,29.896187
明楼,BV10799895,MingLou,121.589196,29.879741,3号线/宁奉城际,宁波,鄞州区,121.595816,29.885977
体育馆,BV10799866,TiYuGuan,121.585329,29.871762,3号线/宁奉城际,宁波,鄞州区,121.591668,29.877568
樱花公园,BV10193715,YingHua GongYuan,121.581421,29.864427,3号线/宁奉城际,宁波,鄞州区,121.58797,29.870208
儿童公园,BV10799900,ErTong GongYuan,121.578385,29.85316,3号线/宁奉城际,宁波,鄞州区,121.586016,29.859776
仇毕,BV10799885,ChouBi,121.575632,29.84514,3号线/宁奉城际,宁波,鄞州区,121.581801,29.851732
钱湖北路,BV10799890,QianHu BeiLu,121.566089,29.835373,3号线/宁奉城际,宁波,鄞州区,121.572274,29.842013
锦寓路,BV10799887,JinYu Lu,121.555692,29.833727,3号线/宁奉城际,宁波,鄞州区,121.56208,29.840154
四明中路,BV10799897,SiMing ZhongLu,121.550882,29.827839,3号线/宁奉城际,宁波,鄞州区,121.557026,29.8341
鄞州区政府,BV10799878,YinZhouQu ZhengFu,121.550431,29.818812,3号线/宁奉城际,宁波,鄞州区,121.556554,29.825639
南部商务区,BV10799883,NanBu ShangWu Qu,121.549225,29.806873,3号线/宁奉城际,宁波,鄞州区,121.555563,29.812933
鄞州客运总站,BV10799899,YinZhou KeYun ZongZhan,121.54165,29.8009,3号线/宁奉城际,宁波,鄞州区,121.548183,29.806189
句章路,BV10799870,GouZhang Lu,121.531402,29.796846,3号线/宁奉城际,宁波,鄞州区,121.537382,29.802825
高塘桥,BV10799882,GaoTang Qiao,121.529558,29.789544,3号线/宁奉城际,宁波,鄞州区,121.535677,29.795479
姜山,BV11212271,Jiang Shan,121.527543,29.770623,3号线/宁奉城际,宁波,鄞州区,121.534174,29.776749
狮山,BV11212275,ShiShan,121.519014,29.763928,3号线/宁奉城际,宁波,鄞州区,121.52646,29.769686
明辉路,BV11212276,MingHui Lu,121.505396,29.764278,3号线/宁奉城际,宁波,鄞州区,121.512685,29.769981
朝阳,BV11212279,ChaoYang,121.488964,29.765047,3号线/宁奉城际,宁波,鄞州区,121.495134,29.770845
方桥,BV11212274,FangQiao,121.452395,29.745643,3号线/宁奉城际,宁波,奉化区,121.458724,29.751987
琎琳,BV11212273,JinLin,121.448437,29.722085,3号线/宁奉城际,宁波,海曙区,121.543962,29.868709
南渡,BV11212278,NanDu,121.447341,29.708642,3号线/宁奉城际,宁波,奉化区,121.45365,29.7152
大成东路,BV11212277,DaCheng DongLu,121.449564,29.672472,3号线/宁奉城际,宁波,奉化区,121.455994,29.678465
金海路,BV11212272,JinHai Lu,121.449288,29.651501,3号线/宁奉城际,宁波,奉化区,121.436025,29.661156
慈城,BV10799876,CiCheng,121.450973,29.975471,4号线,宁波,江北区,121.457404,29.981806
